id	coef	HR	HR.95L	HR.95H	pvalue
SNHG5	0.0991284825317084	1.10420816190544	0.91329126336218	1.33503485003237	0.306075577015125
LINC01270	0.0699249726451628	1.07242771682089	0.865840015122891	1.32830683234527	0.521859210298151
CHKB.AS1	0.137555685710241	1.14746560163002	0.939270281436945	1.40180875829461	0.178101822070964
NUTM2A.AS1	0.105278248658296	1.11101970709367	0.844958121598738	1.46085913372249	0.450987987530149
LINC00205	0.0243674193122231	1.02466673108124	0.751857958925468	1.39646311822683	0.877394083921071
IL10RB.AS1	-0.147264262986093	0.863065870913352	0.655560451461887	1.13625325608698	0.293915217109334
ROR1.AS1	-0.0259256916643553	0.974407493517692	0.75416546978776	1.25896769536616	0.842793757132958
MIR181A2HG	0.162415828522858	1.1763492992233	0.885911891852784	1.56200372351826	0.261589590659512
CCNT2.AS1	0.032956124302225	1.03350519248503	0.741662633530291	1.44018713442423	0.845655985202858
INHBA.AS1	0.058866314820712	1.06063344029044	0.832502296865412	1.35127950865485	0.633793461210742
AC007365.3	0.135693538286857	1.14533083975406	0.939627773681407	1.39606636716607	0.17912898543801
DLG3.AS1	-0.337698872840353	0.713410082708253	0.559939319802251	0.908944823323963	0.00628638191780048
LINC01134	-0.30161225767752	0.739624793132655	0.554104780737378	0.987258824745277	0.0406588889508589
NIFK.AS1	0.419829301602094	1.52170178139157	1.234774186768	1.8753034654468	8.20982569979874e-05
RP11.443B7.1	-0.377669345733003	0.685457112517815	0.528943520437638	0.888282841072549	0.00429375436016882
LSAMP.AS1	0.212737763042698	1.2370602058003	1.05049731447406	1.45675570197992	0.010753508331128
HMGN3.AS1	-0.00463048208936223	0.995380222064657	0.80331172834308	1.23337149392937	0.966232692480323
LPP.AS2	0.0806667276010724	1.08400956589085	0.877928431446693	1.33846529722989	0.453365583961403
RP11.1109F11.3	0.0299149522099356	1.03036689979924	0.805215113095853	1.31847494034245	0.812035972523888
RP11.710C12.1	0.108576505829668	1.11469018557367	0.891268666117838	1.39411858292569	0.341421086410947
RP3.368A4.6	-0.00924040106236005	0.990802160248125	0.769091506214372	1.2764266837173	0.943001234052372
KB.431C1.5	0.0471853290951757	1.0483162745842	0.821451389712438	1.33783572019132	0.704518467817119
RP11.155O18.6	0.0602116956050633	1.06206135647036	0.855606216964382	1.31833348395902	0.585093986987417
CASC15	-0.0186150665161257	0.981557123734879	0.770863845799093	1.2498372992911	0.879979097541565
RP11.449P15.2	0.0812785266077004	1.08467296477913	0.875394898869141	1.34398251810995	0.457384344617741
FLJ16779	0.118424405877489	1.12572177293583	0.933930175743337	1.35689963016043	0.213981285096936
